recordId,sourceFile,sourceSection,chunkType,content,productIds,docType,atexZone,tempMaxC,foerderleistungM3h,werkstoffGehaeuse,ex_certified,wirkungsgradPct,druckMaxBar,antriebsleistungKW
maintenance-manual.md::ersatzteilliste-standard::row-3,maintenance-manual.md,Ersatzteilliste (Standard),table-row,Position: Spaltring Druck | AL-3000 / AL-3000-S: 30-200-011 | AL-3000-SX: 30-200-016 | AL-3500 / AL-3500-HT(-X): 35-200-011,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::row-4,maintenance-manual.md,Ersatzteilliste (Standard),table-row,Position: Lagerset Antriebsseite | AL-3000 / AL-3000-S: 30-300-100 | AL-3000-SX: 30-300-100 | AL-3500 / AL-3500-HT(-X): 35-300-100,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::row-5,maintenance-manual.md,Ersatzteilliste (Standard),table-row,Position: Lagerset Pumpenseite | AL-3000 / AL-3000-S: 30-300-101 | AL-3000-SX: 30-300-101 | AL-3500 / AL-3500-HT(-X): 35-300-101,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::row-6,maintenance-manual.md,Ersatzteilliste (Standard),table-row,Position: Dichtungssatz Gehäuse | AL-3000 / AL-3000-S: 30-400-200 | AL-3000-SX: 30-400-205 | AL-3500 / AL-3500-HT(-X): 35-400-200,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::chunk-4,maintenance-manual.md,Ersatzteilliste (Standard),prose,"Für AL-3000-SX und AL-3500-HT-X gilt: Ersatzteile mit Mediumkontakt sind
ausschließlich in der zertifizierten Ausführung zu verwenden, andernfalls
erlischt die ATEX-Zulassung.",AL-3000-SX;AL-3500-HT-X,maintenance,,,,,,,,
maintenance-manual.md::lagerfett-al-3000-reihe-und-al-3500::row-1,maintenance-manual.md,Lagerfett (AL-3000-Reihe und AL-3500),table-row,"Hersteller: Klüber | Produkt: Klüberplex BEM 41-132 | Eigenschaften: Lithiumkomplex, NLGI 2, –30 bis +130 °C",,maintenance,,,,,,,,
maintenance-manual.md::lagerfett-al-3000-reihe-und-al-3500::row-2,maintenance-manual.md,Lagerfett (AL-3000-Reihe und AL-3500),table-row,"Hersteller: SKF | Produkt: LGHP 2 | Eigenschaften: Polyharnstoff, NLGI 2/3, –40 bis +150 °C",,maintenance,,,,,,,,
maintenance-manual.md::lagerfett-al-3000-reihe-und-al-3500::chunk-5,maintenance-manual.md,Lagerfett (AL-3000-Reihe und AL-3500),prose,"Befüllmenge je Lager: 25 g (AL-3000-Reihe), 40 g (AL-3500).",AL-3000;AL-3500,maintenance,,,,,,,,
maintenance-manual.md::lagertraegeroel-al-3500-ht-al-3500-ht-x::row-1,maintenance-manual.md,"Lagerträgeröl (AL-3500-HT, AL-3500-HT-X)",table-row,"Hersteller: Klüber | Produkt: Klüberoil GEM 1-150 N | Eigenschaften: Mineralöl, ISO VG 150",,maintenance,,,,,,,,
maintenance-manual.md::lagertraegeroel-al-3500-ht-al-3500-ht-x::row-2,maintenance-manual.md,"Lagerträgeröl (AL-3500-HT, AL-3500-HT-X)",table-row,"Hersteller: Mobil | Produkt: SHC 629 | Eigenschaften: Synthetiköl, ISO VG 150",,maintenance,,,,,,,,
maintenance-manual.md::lagertraegeroel-al-3500-ht-al-3500-ht-x::chunk-6,maintenance-manual.md,"Lagerträgeröl (AL-3500-HT, AL-3500-HT-X)",prose,"Füllvolumen Lagerträger: 1,8 Liter. Ölstand am Schauglas mittig halten.",,maintenance,,,,,,,,
maintenance-manual.md::stillstand-und-lagerung::chunk-7,maintenance-manual.md,Stillstand und Lagerung,prose,"Bei Stillstand >2 Wochen muss die Welle wöchentlich von Hand mind. eine halbe
Umdrehung gedreht werden, um Standabdrücke an den Lagern zu vermeiden. Bei
ATEX-Pumpen darf das nur nach Freischalten und ggf. Inertisierung erfolgen.",,maintenance,,,,,,,,
