recordId,sourceFile,sourceSection,chunkType,content,productIds,docType,atexZone,tempMaxC,foerderleistungM3h,werkstoffGehaeuse,ex_certified,wirkungsgradPct,druckMaxBar,antriebsleistungKW
compatibility-matrix.md::uebersichtsmatrix::row-11,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Heißwasser bis 220 °C | AL-3000: N | AL-3000-S: N | AL-3000-SX: N | AL-3500: N | AL-3500-HT: A | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-12,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Brennbare Medien in Ex-Zone 2 | AL-3000: N | AL-3000-S: A | AL-3000-SX: A | AL-3500: N | AL-3500-HT: N | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::uebersichtsmatrix::row-13,compatibility-matrix.md,Übersichtsmatrix,table-row,Medienklasse: Brennbare Medien in Ex-Zone 1 | AL-3000: N | AL-3000-S: N | AL-3000-SX: A | AL-3500: N | AL-3500-HT: N | AL-3500-HT-X: A,AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::hinweise::chunk-0,compatibility-matrix.md,Hinweise,prose,"¹ Graugussgehäuse hat eingeschränkte Korrosionsbeständigkeit. Für Dauerbetrieb
unter pH 6 oder bei stark alkalischen Medien (NaOH > 10 %) muss in regelmäßigen
Abständen die Wandstärkenmessung erfolgen, oder es ist auf eine Edelstahl-
variante (-SX, -HT, -HT-X) auszuweichen.

² Bei stark sauren oder halogenierten Medien ist die Dichtungswahl projekt-
spezifisch (FFKM oder Kalrez). Eignung wird im Einzelfall durch das
AeroLift-Anwendungsteam freigegeben.",,compatibility,,,,,,,,
compatibility-matrix.md::lebensmittelanwendungen::chunk-1,compatibility-matrix.md,Lebensmittelanwendungen,prose,"Nur die Modelle mit vollständigem Edelstahl-Mediumkontakt
(AL-3000-SX, AL-3500-HT, AL-3500-HT-X) erfüllen die Anforderungen aus FDA
21 CFR 177 und EG 1935/2004 und sind damit für den Lebensmittelkontakt
freigegeben. Die Eignung umfasst:

- Trinkwasser
- Saftkonzentrate (pH > 4)
- Milch und Milcherzeugnisse
- Pflanzenöle (kalt bis 80 °C)

CIP-Reinigungsmittel auf Basis von NaOH (max. 5 %) und HNO₃ (max. 3 %) sind
zugelassen.",AL-3000-SX;AL-3500-HT;AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::row-1,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,table-row,Modell: AL-3000 | Zone 0: nein | Zone 1: nein | Zone 2: nein,AL-3000,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::row-2,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,table-row,Modell: AL-3000-S | Zone 0: nein | Zone 1: nein | Zone 2: ja,AL-3000-S,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::row-3,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,table-row,Modell: AL-3000-SX | Zone 0: nein | Zone 1: ja | Zone 2: ja,AL-3000-SX,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::row-4,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,table-row,Modell: AL-3500 | Zone 0: nein | Zone 1: nein | Zone 2: nein,AL-3500,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::row-5,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,table-row,Modell: AL-3500-HT | Zone 0: nein | Zone 1: nein | Zone 2: nein,AL-3500-HT,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::row-6,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,table-row,Modell: AL-3500-HT-X | Zone 0: nein | Zone 1: ja | Zone 2: ja,AL-3500-HT-X,compatibility,,,,,,,,
compatibility-matrix.md::ex-zonen-eignung-im-ueberblick::chunk-2,compatibility-matrix.md,Ex-Zonen-Eignung im Überblick,prose,"Eine Pumpe für Zone 1 darf in Zone 2 betrieben werden, jedoch nicht umgekehrt.
Zone 0 (dauerhaft Ex-Atmosphäre) wird von keinem Modell der AL-3000- und
AL-3500-Reihe abgedeckt.",AL-3000;AL-3500,compatibility,,,,,,,,
faq.md::welche-pumpen-eignen-sich-fuer-den-einsatz-in-der-lebensmittelindustrie::chunk-0,faq.md,Welche Pumpen eignen sich für den Einsatz in der Lebensmittelindustrie?,prose,"Für den direkten Lebensmittelkontakt müssen alle medienberührten Teile aus
Edelstahl bestehen. Diese Anforderung erfüllen die Modelle **AL-3000-SX**,
**AL-3500-HT** und **AL-3500-HT-X**. Die Graugussvarianten (AL-3000, AL-3000-S,
AL-3500) sind dafür nicht geeignet.",AL-3000-SX;AL-3500-HT;AL-3500-HT-X;AL-3000;AL-3000-S;AL-3500,faq,,,,,,,,
faq.md::welche-pumpe-brauche-ich-fuer-140-m-h-foerderleistung-in-einer-ex-zone-1-umgebung::chunk-1,faq.md,Welche Pumpe brauche ich für 140 m³/h Förderleistung in einer Ex-Zone-1-Umgebung?,prose,"Die einzige Pumpe der Familie, die diese Kombination abdeckt, ist die
**AL-3500-HT-X**. Die normale AL-3500 liefert zwar 140 m³/h, hat aber keine
ATEX-Zertifizierung.",AL-3500-HT-X;AL-3500,faq,,,,,,,,
faq.md::was-ist-der-unterschied-zwischen-al-3000-s-und-al-3000-sx::chunk-2,faq.md,Was ist der Unterschied zwischen AL-3000-S und AL-3000-SX?,prose,"Die AL-3000-S ist eine ATEX-Zone-2-Variante mit Graugussgehäuse und max.
Medientemperatur 120 °C. Die AL-3000-SX ist eine ATEX-Zone-1-Variante mit
Edelstahlgehäuse (1.4408) und Medientemperatur bis 150 °C. Die SX ist nicht
einfach eine ""höher zertifizierte S"" – sie unterscheidet sich auch im
Werkstoff und Temperaturbereich.",AL-3000-S;AL-3000-SX,faq,,,,,,,,
faq.md::darf-ich-eine-al-3500-ht-in-einer-ex-zone-betreiben::chunk-3,faq.md,Darf ich eine AL-3500-HT in einer Ex-Zone betreiben?,prose,"Nein. Die AL-3500-HT besitzt keine ATEX-Zertifizierung, auch nicht für Zone 2.
Für Heißmedien in Ex-Bereichen ist ausschließlich die AL-3500-HT-X freigegeben.",AL-3500-HT;AL-3500-HT-X,faq,,,,,,,,
faq.md::wir-haben-ph-3-saeure-zu-foerdern-welches-modell-empfehlt-ihr::chunk-4,faq.md,Wir haben pH 3-Säure zu fördern. Welches Modell empfehlt ihr?,prose,"Stark saure Medien (pH < 4) sind in der Standardausführung kein Auslegungsfall.
Mit Edelstahl 1.4408 und FFKM-Dichtung sind AL-3000-SX, AL-3500-HT und
AL-3500-HT-X bedingt geeignet – die finale Freigabe macht das
AeroLift-Anwendungsteam projektspezifisch.",AL-3000-SX;AL-3500-HT;AL-3500-HT-X,faq,,,,,,,,
faq.md::welche-antriebsleistung-haben-die-pumpen::chunk-5,faq.md,Welche Antriebsleistung haben die Pumpen?,prose,"Die gesamte AL-3000-Reihe hat 22 kW Antriebsleistung, die gesamte AL-3500-Reihe
37 kW. Die Antriebsleistung ist innerhalb einer Reihe identisch, unabhängig
von ATEX- oder HT-Variante.",AL-3000;AL-3500,faq,,,,,,,,
faq.md::wie-hoch-ist-der-wirkungsgrad::chunk-6,faq.md,Wie hoch ist der Wirkungsgrad?,prose,"Im Auslegungspunkt: AL-3000 / AL-3000-S 72 %, AL-3000-SX 70 %, AL-3500 76 %,
AL-3500-HT / AL-3500-HT-X 74 %.",AL-3000;AL-3000-S;AL-3000-SX;AL-3500;AL-3500-HT;AL-3500-HT-X,faq,,,,,,,,
faq.md::welche-anschlussgroessen-haben-die-pumpen::chunk-7,faq.md,Welche Anschlussgrößen haben die Pumpen?,prose,"AL-3000-Reihe: Saug DN65, Druck DN50. AL-3500-Reihe: Saug DN80, Druck DN65.
Bei den HT-Varianten sind die Flansche in PN25 ausgeführt, sonst PN16.",AL-3000;AL-3500,faq,,,,,,,,
faq.md::wie-oft-muss-eine-grossinspektion-durchgefuehrt-werden::chunk-8,faq.md,Wie oft muss eine Großinspektion durchgeführt werden?,prose,"Standardmodelle (AL-3000, AL-3500): 4.000 Bh oder 12 Monate. ATEX-Modelle der
AL-3000-Reihe: 3.500 Bh (S) bzw. 3.000 Bh (SX). HT-Modelle: 2.500 Bh / 6 Monate
(HT) bzw. 2.000 Bh / 6 Monate (HT-X). Maßgeblich ist der zuerst erreichte
Wert.",AL-3000;AL-3500,faq,,,,,,,,
faq.md::welche-schmierstoffe-sind-freigegeben::chunk-9,faq.md,Welche Schmierstoffe sind freigegeben?,prose,"Lagerfett: Klüberplex BEM 41-132 oder SKF LGHP 2. Lagerträgeröl (nur HT):
Klüberoil GEM 1-150 N oder Mobil SHC 629. Andere Produkte nur nach Freigabe.",,faq,,,,,,,,
faq.md::wer-hat-die-atex-zertifikate-ausgestellt::chunk-10,faq.md,Wer hat die ATEX-Zertifikate ausgestellt?,prose,"Alle ATEX-Zertifikate stammen von der DEKRA EXAM GmbH (notifizierte Stelle
0158). Die aktuellen Zertifikatsnummern stehen im `atex-guide.md`.",,faq,,,,,,,,
faq.md::sind-die-pumpen-nach-fda-zugelassen::chunk-11,faq.md,Sind die Pumpen nach FDA zugelassen?,prose,"Die Edelstahlvarianten (AL-3000-SX, AL-3500-HT, AL-3500-HT-X) erfüllen die
Anforderungen aus FDA 21 CFR 177 und EG 1935/2004. Eine separate FDA-Zulassung
gibt es nicht – relevant ist die Konformität der Werkstoffe.",AL-3000-SX;AL-3500-HT;AL-3500-HT-X,faq,,,,,,,,
faq.md::wie-lange-ist-die-ersatzteilversorgung-garantiert::chunk-12,faq.md,Wie lange ist die Ersatzteilversorgung garantiert?,prose,"AeroLift garantiert die Ersatzteilversorgung mindestens 10 Jahre nach
Auslaufen eines Modells. Die abgekündigte AL-2500-Reihe ist bis 2030-12
versorgt.",AL-2500,faq,,,,,,,,
maintenance-manual.md::wartungsintervalle::chunk-0,maintenance-manual.md,Wartungsintervalle,prose,"Die Intervalle werden in Betriebsstunden (Bh) bzw. Kalenderzeit angegeben –
maßgeblich ist der zuerst erreichte Wert.",,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-1,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3000 | Großinspektion: 4.000 Bh / 12 Monate | Lagerwechsel: 16.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 8.000 Bh,AL-3000,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-2,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3000-S | Großinspektion: 3.500 Bh / 12 Monate | Lagerwechsel: 14.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 7.000 Bh,AL-3000-S,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-3,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3000-SX | Großinspektion: 3.000 Bh / 12 Monate | Lagerwechsel: 12.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 6.000 Bh,AL-3000-SX,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-4,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3500 | Großinspektion: 4.000 Bh / 12 Monate | Lagerwechsel: 16.000 Bh | Ölwechsel Lagerträger: – (fettgeschmiert) | GLRD-Wechsel (geplant): 8.000 Bh,AL-3500,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-5,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3500-HT | Großinspektion: 2.500 Bh / 6 Monate | Lagerwechsel: 10.000 Bh | Ölwechsel Lagerträger: 2.500 Bh / 6 Monate | GLRD-Wechsel (geplant): 5.000 Bh,AL-3500-HT,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::row-6,maintenance-manual.md,Wartungsintervalle,table-row,Modell: AL-3500-HT-X | Großinspektion: 2.000 Bh / 6 Monate | Lagerwechsel: 8.000 Bh | Ölwechsel Lagerträger: 2.000 Bh / 6 Monate | GLRD-Wechsel (geplant): 4.000 Bh,AL-3500-HT-X,maintenance,,,,,,,,
maintenance-manual.md::wartungsintervalle::chunk-1,maintenance-manual.md,Wartungsintervalle,prose,"ATEX-zertifizierte Pumpen (-S, -SX, -HT-X) haben kürzere Großinspektions-
intervalle, weil zusätzliche Prüfungen an Temperaturüberwachung und
Erdungsverbindungen vorgeschrieben sind.

Die HT-Modelle haben deutlich kürzere Intervalle, weil die thermische Belastung
der Lager und Dichtungen höher ist und die Lagerträgerkühlung halbjährlich
geprüft werden muss.",,maintenance,,,,,,,,
maintenance-manual.md::routine-inspektion-alle-500-bh::chunk-2,maintenance-manual.md,Routine-Inspektion (alle 500 Bh),prose,"Unabhängig vom Modell:

- Sichtkontrolle auf Leckage an GLRD und Flanschdichtungen
- Vibrationsmessung am Lagergehäuse, Grenzwert 4,5 mm/s RMS (DIN ISO 10816-3)
- Sauberkeit der Lüfterhaube prüfen
- Bei ATEX-Pumpen: Erdungsklemme auf festen Sitz prüfen",,maintenance,,,,,,,,
maintenance-manual.md::ersatzteilliste-standard::chunk-3,maintenance-manual.md,Ersatzteilliste (Standard),prose,Pro Großinspektion mindestens vorzuhalten:,,maintenance,,,,,,,,
